start_index,start_time,can_tapper_id,event_time,t_rel,event_label,source_subfunction,source_subsub,event_color
0,2022-07-04 10:09:45.209737,can_tapper14,2022-07-04 10:09:45.209737,0.0,Engine starting command,Engine Status,status,"rgb(228,26,28)"
0,2022-07-04 10:09:45.209737,can_tapper14,2022-07-04 10:09:46.800674,1.590937,Engine running command,Engine Status,status,"rgb(228,26,28)"
1,2022-07-05 07:27:36.809784,can_tapper14,2022-07-05 07:27:36.809784,0.0,Engine starting command,Engine Status,status,"rgb(55,126,184)"
1,2022-07-05 07:27:36.809784,can_tapper14,2022-07-05 07:27:37.107783,0.297999,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(55,126,184)"
1,2022-07-05 07:27:36.809784,can_tapper14,2022-07-05 07:27:38.463411,1.653627,Engine running command,Engine Status,status,"rgb(55,126,184)"
2,2022-07-05 08:07:48.210653,can_tapper14,2022-07-05 08:07:48.210653,0.0,Engine starting command,Engine Status,status,"rgb(77,175,74)"
2,2022-07-05 08:07:48.210653,can_tapper14,2022-07-05 08:07:48.615079,0.404426,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(77,175,74)"
2,2022-07-05 08:07:48.210653,can_tapper14,2022-07-05 08:07:49.848411,1.637758,Engine running command,Engine Status,status,"rgb(77,175,74)"
3,2022-07-12 14:29:58.682779,can_tapper14,2022-07-12 14:29:58.682779,0.0,Engine starting command,Engine Status,status,"rgb(152,78,163)"
3,2022-07-12 14:29:58.682779,can_tapper14,2022-07-12 14:29:59.080352,0.397573,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(152,78,163)"
3,2022-07-12 14:29:58.682779,can_tapper14,2022-07-12 14:30:00.465339,1.78256,Engine running command,Engine Status,status,"rgb(152,78,163)"
4,2022-07-21 09:39:33.289646,can_tapper14,2022-07-21 09:39:33.289646,0.0,Engine starting command,Engine Status,status,"rgb(255,127,0)"
4,2022-07-21 09:39:33.289646,can_tapper14,2022-07-21 09:39:31.103924,-2.185722,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(255,127,0)"
4,2022-07-21 09:39:33.289646,can_tapper14,2022-07-21 09:39:33.708328,0.418682,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(255,127,0)"
4,2022-07-21 09:39:33.289646,can_tapper14,2022-07-21 09:39:35.113594,1.823948,Engine running command,Engine Status,status,"rgb(255,127,0)"
5,2022-07-21 10:57:18.413465,can_tapper14,2022-07-21 10:57:18.413465,0.0,Engine starting command,Engine Status,status,"rgb(255,255,51)"
5,2022-07-21 10:57:18.413465,can_tapper14,2022-07-21 10:57:18.670719,0.257254,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(255,255,51)"
5,2022-07-21 10:57:18.413465,can_tapper14,2022-07-21 10:57:20.092443,1.678978,Engine running command,Engine Status,status,"rgb(255,255,51)"
6,2022-07-21 11:24:13.197936,can_tapper14,2022-07-21 11:24:13.197936,0.0,Engine starting command,Engine Status,status,"rgb(166,86,40)"
6,2022-07-21 11:24:13.197936,can_tapper14,2022-07-21 11:24:04.435862,-8.762074,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(166,86,40)"
6,2022-07-21 11:24:13.197936,can_tapper14,2022-07-21 11:24:13.638743,0.440807,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(166,86,40)"
6,2022-07-21 11:24:13.197936,can_tapper14,2022-07-21 11:24:14.881036,1.6831,Engine running command,Engine Status,status,"rgb(166,86,40)"
6,2022-07-21 11:24:13.197936,can_tapper14,2022-07-21 11:25:26.128554,72.930618,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(166,86,40)"
6,2022-07-21 11:24:13.197936,can_tapper14,2022-07-21 11:25:27.166567,73.968631,Engine running command,Engine Status,status,"rgb(166,86,40)"
7,2022-07-21 11:25:25.830111,can_tapper14,2022-07-21 11:25:25.830111,0.0,Engine starting command,Engine Status,status,"rgb(247,129,191)"
7,2022-07-21 11:25:25.830111,can_tapper14,2022-07-21 11:25:26.128554,0.298443,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(247,129,191)"
7,2022-07-21 11:25:25.830111,can_tapper14,2022-07-21 11:25:27.166567,1.336456,Engine running command,Engine Status,status,"rgb(247,129,191)"
8,2022-07-21 11:33:39.581684,can_tapper14,2022-07-21 11:33:39.581684,0.0,Engine starting command,Engine Status,status,"rgb(153,153,153)"
8,2022-07-21 11:33:39.581684,can_tapper14,2022-07-21 11:33:39.916559,0.334875,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(153,153,153)"
8,2022-07-21 11:33:39.581684,can_tapper14,2022-07-21 11:33:41.370339,1.788655,Engine running command,Engine Status,status,"rgb(153,153,153)"
9,2022-07-21 11:35:43.131064,can_tapper14,2022-07-21 11:35:43.131064,0.0,Engine starting command,Engine Status,status,"rgb(228,26,28)"
9,2022-07-21 11:35:43.131064,can_tapper14,2022-07-21 11:35:43.478864,0.3478,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(228,26,28)"
9,2022-07-21 11:35:43.131064,can_tapper14,2022-07-21 11:35:44.604765,1.473701,Engine running command,Engine Status,status,"rgb(228,26,28)"
10,2022-07-21 11:38:11.316509,can_tapper14,2022-07-21 11:38:11.316509,0.0,Engine starting command,Engine Status,status,"rgb(55,126,184)"
10,2022-07-21 11:38:11.316509,can_tapper14,2022-07-21 11:38:11.608863,0.292354,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(55,126,184)"
10,2022-07-21 11:38:11.316509,can_tapper14,2022-07-21 11:38:13.127339,1.81083,Engine running command,Engine Status,status,"rgb(55,126,184)"
11,2022-07-21 11:41:47.651865,can_tapper14,2022-07-21 11:41:47.651865,0.0,Engine starting command,Engine Status,status,"rgb(77,175,74)"
11,2022-07-21 11:41:47.651865,can_tapper14,2022-07-21 11:41:47.896689,0.244824,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(77,175,74)"
11,2022-07-21 11:41:47.651865,can_tapper14,2022-07-21 11:41:49.155659,1.503794,Engine running command,Engine Status,status,"rgb(77,175,74)"
12,2022-07-21 11:46:50.438466,can_tapper14,2022-07-21 11:46:50.438466,0.0,Engine starting command,Engine Status,status,"rgb(152,78,163)"
12,2022-07-21 11:46:50.438466,can_tapper14,2022-07-21 11:46:50.857462,0.418996,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(152,78,163)"
12,2022-07-21 11:46:50.438466,can_tapper14,2022-07-21 11:46:51.879862,1.441396,Engine running command,Engine Status,status,"rgb(152,78,163)"
13,2022-07-21 11:51:19.502426,can_tapper14,2022-07-21 11:51:19.502426,0.0,Engine starting command,Engine Status,status,"rgb(255,127,0)"
13,2022-07-21 11:51:19.502426,can_tapper14,2022-07-21 11:51:19.930471,0.428045,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(255,127,0)"
13,2022-07-21 11:51:19.502426,can_tapper14,2022-07-21 11:51:21.301632,1.799206,Engine running command,Engine Status,status,"rgb(255,127,0)"
14,2022-07-21 11:54:47.461772,can_tapper14,2022-07-21 11:54:47.461772,0.0,Engine starting command,Engine Status,status,"rgb(255,255,51)"
14,2022-07-21 11:54:47.461772,can_tapper14,2022-07-21 11:54:45.156039,-2.305733,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(255,255,51)"
14,2022-07-21 11:54:47.461772,can_tapper14,2022-07-21 11:54:48.776588,1.314816,Engine running command,Engine Status,status,"rgb(255,255,51)"
15,2022-07-21 11:58:49.915159,can_tapper14,2022-07-21 11:58:49.915159,0.0,Engine starting command,Engine Status,status,"rgb(166,86,40)"
15,2022-07-21 11:58:49.915159,can_tapper14,2022-07-21 11:58:47.609242,-2.305917,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(166,86,40)"
15,2022-07-21 11:58:49.915159,can_tapper14,2022-07-21 11:58:51.397802,1.482643,Engine running command,Engine Status,status,"rgb(166,86,40)"
16,2022-07-21 12:03:38.473659,can_tapper14,2022-07-21 12:03:38.473659,0.0,Engine starting command,Engine Status,status,"rgb(247,129,191)"
16,2022-07-21 12:03:38.473659,can_tapper14,2022-07-21 12:03:38.879812,0.406153,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(247,129,191)"
16,2022-07-21 12:03:38.473659,can_tapper14,2022-07-21 12:03:39.964566,1.490907,Engine running command,Engine Status,status,"rgb(247,129,191)"
17,2022-07-21 12:08:10.420517,can_tapper14,2022-07-21 12:08:10.420517,0.0,Engine starting command,Engine Status,status,"rgb(153,153,153)"
17,2022-07-21 12:08:10.420517,can_tapper14,2022-07-21 12:08:10.623543,0.203026,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(153,153,153)"
17,2022-07-21 12:08:10.420517,can_tapper14,2022-07-21 12:08:11.992659,1.572142,Engine running command,Engine Status,status,"rgb(153,153,153)"
18,2022-07-21 12:11:27.602009,can_tapper14,2022-07-21 12:11:27.602009,0.0,Engine starting command,Engine Status,status,"rgb(228,26,28)"
18,2022-07-21 12:11:27.602009,can_tapper14,2022-07-21 12:11:27.906409,0.3044,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(228,26,28)"
18,2022-07-21 12:11:27.602009,can_tapper14,2022-07-21 12:11:29.146164,1.544155,Engine running command,Engine Status,status,"rgb(228,26,28)"
19,2022-07-21 12:13:45.863182,can_tapper14,2022-07-21 12:13:45.863182,0.0,Engine starting command,Engine Status,status,"rgb(55,126,184)"
19,2022-07-21 12:13:45.863182,can_tapper14,2022-07-21 12:13:46.182361,0.319179,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(55,126,184)"
19,2022-07-21 12:13:45.863182,can_tapper14,2022-07-21 12:13:47.161543,1.298361,Engine running command,Engine Status,status,"rgb(55,126,184)"
20,2022-07-21 12:18:40.419967,can_tapper14,2022-07-21 12:18:40.419967,0.0,Engine starting command,Engine Status,status,"rgb(77,175,74)"
20,2022-07-21 12:18:40.419967,can_tapper14,2022-07-21 12:18:38.315642,-2.104325,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(77,175,74)"
20,2022-07-21 12:18:40.419967,can_tapper14,2022-07-21 12:18:41.954040,1.534073,Engine running command,Engine Status,status,"rgb(77,175,74)"
21,2022-07-21 12:20:55.375866,can_tapper14,2022-07-21 12:20:55.375866,0.0,Engine starting command,Engine Status,status,"rgb(152,78,163)"
21,2022-07-21 12:20:55.375866,can_tapper14,2022-07-21 12:20:55.689234,0.313368,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(152,78,163)"
21,2022-07-21 12:20:55.375866,can_tapper14,2022-07-21 12:20:56.881406,1.50554,Engine running command,Engine Status,status,"rgb(152,78,163)"
22,2022-08-01 11:27:57.376207,can_tapper14,2022-08-01 11:27:57.376207,0.0,Engine starting command,Engine Status,status,"rgb(255,127,0)"
22,2022-08-01 11:27:57.376207,can_tapper14,2022-08-01 11:27:57.798777,0.42257,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(255,127,0)"
22,2022-08-01 11:27:57.376207,can_tapper14,2022-08-01 11:27:58.721805,1.345598,Engine running command,Engine Status,status,"rgb(255,127,0)"
23,2022-08-02 07:56:26.541845,can_tapper14,2022-08-02 07:56:26.541845,0.0,Engine starting command,Engine Status,status,"rgb(255,255,51)"
23,2022-08-02 07:56:26.541845,can_tapper14,2022-08-02 07:56:26.835779,0.293934,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(255,255,51)"
23,2022-08-02 07:56:26.541845,can_tapper14,2022-08-02 07:56:28.119059,1.577214,Engine running command,Engine Status,status,"rgb(255,255,51)"
24,2022-08-02 08:11:59.698334,can_tapper14,2022-08-02 08:11:59.698334,0.0,Engine starting command,Engine Status,status,"rgb(166,86,40)"
24,2022-08-02 08:11:59.698334,can_tapper14,2022-08-02 08:11:57.405638,-2.292696,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(166,86,40)"
24,2022-08-02 08:11:59.698334,can_tapper14,2022-08-02 08:12:01.063079,1.364745,Engine running command,Engine Status,status,"rgb(166,86,40)"
25,2022-08-02 09:04:47.959845,can_tapper14,2022-08-02 09:04:47.959845,0.0,Engine starting command,Engine Status,status,"rgb(247,129,191)"
25,2022-08-02 09:04:47.959845,can_tapper14,2022-08-02 09:04:48.302136,0.342291,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(247,129,191)"
25,2022-08-02 09:04:47.959845,can_tapper14,2022-08-02 09:04:49.553615,1.59377,Engine running command,Engine Status,status,"rgb(247,129,191)"
26,2022-08-02 12:00:27.808972,can_tapper14,2022-08-02 12:00:27.808972,0.0,Engine starting command,Engine Status,status,"rgb(153,153,153)"
26,2022-08-02 12:00:27.808972,can_tapper14,2022-08-02 12:00:25.605122,-2.20385,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(153,153,153)"
26,2022-08-02 12:00:27.808972,can_tapper14,2022-08-02 12:00:29.656276,1.847304,Engine running command,Engine Status,status,"rgb(153,153,153)"
27,2022-09-12 12:53:44.001602,can_tapper14,2022-09-12 12:53:44.001602,0.0,Engine starting command,Engine Status,status,"rgb(228,26,28)"
27,2022-09-12 12:53:44.001602,can_tapper14,2022-09-12 12:53:44.407025,0.405423,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(228,26,28)"
27,2022-09-12 12:53:44.001602,can_tapper14,2022-09-12 12:53:45.716709,1.715107,Engine running command,Engine Status,status,"rgb(228,26,28)"
28,2022-09-13 13:49:20.078510,can_tapper14,2022-09-13 13:49:20.078510,0.0,Engine starting command,Engine Status,status,"rgb(55,126,184)"
28,2022-09-13 13:49:20.078510,can_tapper14,2022-09-13 13:48:45.648760,-34.42975,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(55,126,184)"
28,2022-09-13 13:49:20.078510,can_tapper14,2022-09-13 13:49:19.262336,-0.816174,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(55,126,184)"
28,2022-09-13 13:49:20.078510,can_tapper14,2022-09-13 13:49:21.863550,1.78504,Engine running command,Engine Status,status,"rgb(55,126,184)"
29,2022-09-14 13:06:30.064608,can_tapper14,2022-09-14 13:06:30.064608,0.0,Engine starting command,Engine Status,status,"rgb(77,175,74)"
29,2022-09-14 13:06:30.064608,can_tapper14,2022-09-14 13:06:30.344984,0.280376,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(77,175,74)"
29,2022-09-14 13:06:30.064608,can_tapper14,2022-09-14 13:06:31.815095,1.750487,Engine running command,Engine Status,status,"rgb(77,175,74)"
30,2022-09-14 13:10:59.026898,can_tapper14,2022-09-14 13:10:59.026898,0.0,Engine starting command,Engine Status,status,"rgb(152,78,163)"
30,2022-09-14 13:10:59.026898,can_tapper14,2022-09-14 13:10:59.384128,0.35723,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(152,78,163)"
30,2022-09-14 13:10:59.026898,can_tapper14,2022-09-14 13:11:00.539487,1.512589,Engine running command,Engine Status,status,"rgb(152,78,163)"
31,2022-09-15 20:33:21.740441,can_tapper14,2022-09-15 20:33:21.740441,0.0,Engine starting command,Engine Status,status,"rgb(255,127,0)"
31,2022-09-15 20:33:21.740441,can_tapper14,2022-09-15 20:33:22.089019,0.348578,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(255,127,0)"
31,2022-09-15 20:33:21.740441,can_tapper14,2022-09-15 20:33:44.095053,22.354612,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(255,127,0)"
31,2022-09-15 20:33:21.740441,can_tapper14,2022-09-15 20:34:09.700597,47.960156,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(255,127,0)"
31,2022-09-15 20:33:21.740441,can_tapper14,2022-09-15 20:34:11.193626,49.453185,Engine running command,Engine Status,status,"rgb(255,127,0)"
32,2022-09-15 20:34:09.347495,can_tapper14,2022-09-15 20:34:09.347495,0.0,Engine starting command,Engine Status,status,"rgb(255,255,51)"
32,2022-09-15 20:34:09.347495,can_tapper14,2022-09-15 20:33:22.089019,-47.258476,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(255,255,51)"
32,2022-09-15 20:34:09.347495,can_tapper14,2022-09-15 20:33:44.095053,-25.252442,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(255,255,51)"
32,2022-09-15 20:34:09.347495,can_tapper14,2022-09-15 20:34:09.700597,0.353102,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(255,255,51)"
32,2022-09-15 20:34:09.347495,can_tapper14,2022-09-15 20:34:11.193626,1.846131,Engine running command,Engine Status,status,"rgb(255,255,51)"
33,2022-09-19 13:36:15.014461,can_tapper14,2022-09-19 13:36:15.014461,0.0,Engine starting command,Engine Status,status,"rgb(166,86,40)"
33,2022-09-19 13:36:15.014461,can_tapper14,2022-09-19 13:36:12.707491,-2.30697,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(166,86,40)"
33,2022-09-19 13:36:15.014461,can_tapper14,2022-09-19 13:36:16.446196,1.431735,Engine running command,Engine Status,status,"rgb(166,86,40)"
34,2022-09-19 21:11:55.552536,can_tapper14,2022-09-19 21:11:55.552536,0.0,Engine starting command,Engine Status,status,"rgb(247,129,191)"
34,2022-09-19 21:11:55.552536,can_tapper14,2022-09-19 21:11:55.874563,0.322027,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(247,129,191)"
34,2022-09-19 21:11:55.552536,can_tapper14,2022-09-19 21:11:57.205400,1.652864,Engine running command,Engine Status,status,"rgb(247,129,191)"
35,2022-09-20 10:41:17.728704,can_tapper14,2022-09-20 10:41:17.728704,0.0,Engine starting command,Engine Status,status,"rgb(153,153,153)"
35,2022-09-20 10:41:17.728704,can_tapper14,2022-09-20 10:41:18.012072,0.283368,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(153,153,153)"
35,2022-09-20 10:41:17.728704,can_tapper14,2022-09-20 10:41:19.463324,1.73462,Engine running command,Engine Status,status,"rgb(153,153,153)"
36,2022-09-20 11:07:02.953567,can_tapper14,2022-09-20 11:07:02.953567,0.0,Engine starting command,Engine Status,status,"rgb(228,26,28)"
36,2022-09-20 11:07:02.953567,can_tapper14,2022-09-20 11:07:03.264170,0.310603,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(228,26,28)"
36,2022-09-20 11:07:02.953567,can_tapper14,2022-09-20 11:07:04.459378,1.505811,Engine running command,Engine Status,status,"rgb(228,26,28)"
37,2022-09-20 12:05:34.571076,can_tapper14,2022-09-20 12:05:34.571076,0.0,Engine starting command,Engine Status,status,"rgb(55,126,184)"
37,2022-09-20 12:05:34.571076,can_tapper14,2022-09-20 12:05:34.909476,0.3384,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(55,126,184)"
37,2022-09-20 12:05:34.571076,can_tapper14,2022-09-20 12:05:36.025687,1.454611,Engine running command,Engine Status,status,"rgb(55,126,184)"
38,2022-09-20 15:30:02.912166,can_tapper14,2022-09-20 15:30:02.912166,0.0,Engine starting command,Engine Status,status,"rgb(77,175,74)"
38,2022-09-20 15:30:02.912166,can_tapper14,2022-09-20 15:30:03.178433,0.266267,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(77,175,74)"
38,2022-09-20 15:30:02.912166,can_tapper14,2022-09-20 15:30:04.424334,1.512168,Engine running command,Engine Status,status,"rgb(77,175,74)"
39,2022-09-20 15:46:25.657131,can_tapper14,2022-09-20 15:46:25.657131,0.0,Engine starting command,Engine Status,status,"rgb(152,78,163)"
39,2022-09-20 15:46:25.657131,can_tapper14,2022-09-20 15:46:25.855575,0.198444,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(152,78,163)"
39,2022-09-20 15:46:25.657131,can_tapper14,2022-09-20 15:46:27.411523,1.754392,Engine running command,Engine Status,status,"rgb(152,78,163)"
39,2022-09-20 15:46:25.657131,can_tapper14,2022-09-20 15:48:02.802374,97.145243,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(152,78,163)"
39,2022-09-20 15:46:25.657131,can_tapper14,2022-09-20 15:48:03.854653,98.197522,Engine running command,Engine Status,status,"rgb(152,78,163)"
40,2022-09-20 15:48:02.402678,can_tapper14,2022-09-20 15:48:02.402678,0.0,Engine starting command,Engine Status,status,"rgb(255,127,0)"
40,2022-09-20 15:48:02.402678,can_tapper14,2022-09-20 15:48:02.802374,0.399696,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(255,127,0)"
40,2022-09-20 15:48:02.402678,can_tapper14,2022-09-20 15:48:03.854653,1.451975,Engine running command,Engine Status,status,"rgb(255,127,0)"
41,2022-09-20 15:58:47.776595,can_tapper14,2022-09-20 15:58:47.776595,0.0,Engine starting command,Engine Status,status,"rgb(255,255,51)"
41,2022-09-20 15:58:47.776595,can_tapper14,2022-09-20 15:58:48.174701,0.398106,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(255,255,51)"
41,2022-09-20 15:58:47.776595,can_tapper14,2022-09-20 15:58:49.306026,1.529431,Engine running command,Engine Status,status,"rgb(255,255,51)"
42,2022-09-21 07:12:31.519329,can_tapper14,2022-09-21 07:12:31.519329,0.0,Engine starting command,Engine Status,status,"rgb(166,86,40)"
42,2022-09-21 07:12:31.519329,can_tapper14,2022-09-21 07:12:31.811383,0.292054,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(166,86,40)"
42,2022-09-21 07:12:31.519329,can_tapper14,2022-09-21 07:12:33.151703,1.632374,Engine running command,Engine Status,status,"rgb(166,86,40)"
43,2022-09-21 07:22:11.862033,can_tapper14,2022-09-21 07:22:11.862033,0.0,Engine starting command,Engine Status,status,"rgb(247,129,191)"
43,2022-09-21 07:22:11.862033,can_tapper14,2022-09-21 07:22:12.060584,0.198551,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(247,129,191)"
43,2022-09-21 07:22:11.862033,can_tapper14,2022-09-21 07:22:13.210700,1.348667,Engine running command,Engine Status,status,"rgb(247,129,191)"
44,2022-09-21 09:49:28.249550,can_tapper14,2022-09-21 09:49:28.249550,0.0,Engine starting command,Engine Status,status,"rgb(153,153,153)"
44,2022-09-21 09:49:28.249550,can_tapper14,2022-09-21 09:49:28.479446,0.229896,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(153,153,153)"
44,2022-09-21 09:49:28.249550,can_tapper14,2022-09-21 09:49:29.872131,1.622581,Engine running command,Engine Status,status,"rgb(153,153,153)"
45,2022-09-21 11:35:38.179476,can_tapper14,2022-09-21 11:35:38.179476,0.0,Engine starting command,Engine Status,status,"rgb(228,26,28)"
45,2022-09-21 11:35:38.179476,can_tapper14,2022-09-21 11:35:38.578501,0.399025,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(228,26,28)"
45,2022-09-21 11:35:38.179476,can_tapper14,2022-09-21 11:35:39.485892,1.306416,Engine running command,Engine Status,status,"rgb(228,26,28)"
46,2022-09-21 15:50:04.976418,can_tapper14,2022-09-21 15:50:04.976418,0.0,Engine starting command,Engine Status,status,"rgb(55,126,184)"
46,2022-09-21 15:50:04.976418,can_tapper14,2022-09-21 15:50:05.174590,0.198172,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(55,126,184)"
46,2022-09-21 15:50:04.976418,can_tapper14,2022-09-21 15:50:06.312142,1.335724,Engine running command,Engine Status,status,"rgb(55,126,184)"
47,2022-09-21 16:29:02.153392,can_tapper14,2022-09-21 16:29:02.153392,0.0,Engine starting command,Engine Status,status,"rgb(77,175,74)"
47,2022-09-21 16:29:02.153392,can_tapper14,2022-09-21 16:29:02.492324,0.338932,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(77,175,74)"
47,2022-09-21 16:29:02.153392,can_tapper14,2022-09-21 16:29:03.884109,1.730717,Engine running command,Engine Status,status,"rgb(77,175,74)"
48,2022-09-22 07:00:46.564403,can_tapper14,2022-09-22 07:00:46.564403,0.0,Engine starting command,Engine Status,status,"rgb(152,78,163)"
48,2022-09-22 07:00:46.564403,can_tapper14,2022-09-22 07:00:46.850153,0.28575,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(152,78,163)"
48,2022-09-22 07:00:46.564403,can_tapper14,2022-09-22 07:00:48.130272,1.565869,Engine running command,Engine Status,status,"rgb(152,78,163)"
49,2022-09-22 09:13:16.688772,can_tapper14,2022-09-22 09:13:16.688772,0.0,Engine starting command,Engine Status,status,"rgb(255,127,0)"
49,2022-09-22 09:13:16.688772,can_tapper14,2022-09-22 09:13:16.987022,0.29825,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(255,127,0)"
49,2022-09-22 09:13:16.688772,can_tapper14,2022-09-22 09:13:18.227392,1.53862,Engine running command,Engine Status,status,"rgb(255,127,0)"
50,2022-09-22 10:45:17.859676,can_tapper14,2022-09-22 10:45:17.859676,0.0,Engine starting command,Engine Status,status,"rgb(255,255,51)"
50,2022-09-22 10:45:17.859676,can_tapper14,2022-09-22 10:45:18.255677,0.396001,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(255,255,51)"
50,2022-09-22 10:45:17.859676,can_tapper14,2022-09-22 10:45:19.387466,1.52779,Engine running command,Engine Status,status,"rgb(255,255,51)"
51,2022-09-22 13:15:39.281333,can_tapper14,2022-09-22 13:15:39.281333,0.0,Engine starting command,Engine Status,status,"rgb(166,86,40)"
51,2022-09-22 13:15:39.281333,can_tapper14,2022-09-22 13:15:39.479455,0.198122,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(166,86,40)"
51,2022-09-22 13:15:39.281333,can_tapper14,2022-09-22 13:15:40.919632,1.638299,Engine running command,Engine Status,status,"rgb(166,86,40)"
52,2022-09-22 16:44:20.172127,can_tapper14,2022-09-22 16:44:20.172127,0.0,Engine starting command,Engine Status,status,"rgb(247,129,191)"
52,2022-09-22 16:44:20.172127,can_tapper14,2022-09-22 16:44:20.569761,0.397634,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(247,129,191)"
52,2022-09-22 16:44:20.172127,can_tapper14,2022-09-22 16:44:21.804294,1.632167,Engine running command,Engine Status,status,"rgb(247,129,191)"
